CAMPUS NO,COURSE CODE,COURSE NAME,CRD HRS,STUDY CODE,STUDY DESC,ACTIVITY CODE,ACTIVITY DESC,SECTION,DEPT NO,DEPT NAME,CLASS TIMES
1,11110,COMMUNITY SERVICE,0,1,Bachelor,1,Lecture,1,46,COMMUNITY SERVICE,Monday
1,11110,COMMUNITY SERVICE,0,1,Bachelor,1,Lecture,2,46,COMMUNITY SERVICE,Tuesday
1,11110,COMMUNITY SERVICE,0,1,Bachelor,1,Lecture,3,46,COMMUNITY SERVICE,Wednesday
1,11110,COMMUNITY SERVICE,0,1,Bachelor,1,Lecture,4,46,COMMUNITY SERVICE,Thursday
1,11110,COMMUNITY SERVICE,0,1,Bachelor,1,Lecture,5,46,COMMUNITY SERVICE,Friday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,2,47,LANGUAGE CENTER,Saturday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,4,47,LANGUAGE CENTER,Sunday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,5,47,LANGUAGE CENTER,Monday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,8,47,LANGUAGE CENTER,Tuesday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,9,47,LANGUAGE CENTER,Wednesday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,14,47,LANGUAGE CENTER,Thursday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,17,47,LANGUAGE CENTER,Friday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,19,47,LANGUAGE CENTER,Saturday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,20,47,LANGUAGE CENTER,Sunday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,23,47,LANGUAGE CENTER,Monday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,26,47,LANGUAGE CENTER,Tuesday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,29,47,LANGUAGE CENTER,Wednesday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,30,47,LANGUAGE CENTER,Thursday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,31,47,LANGUAGE CENTER,Friday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,32,47,LANGUAGE CENTER,Saturday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,33,47,LANGUAGE CENTER,Sunday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,34,47,LANGUAGE CENTER,Monday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,35,47,LANGUAGE CENTER,Tuesday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,36,47,LANGUAGE CENTER,Wednesday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,38,47,LANGUAGE CENTER,Thursday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,40,47,LANGUAGE CENTER,Friday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,51,47,LANGUAGE CENTER,Saturday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,52,47,LANGUAGE CENTER,Sunday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,53,47,LANGUAGE CENTER,Monday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,57,47,LANGUAGE CENTER,Tuesday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,58,47,LANGUAGE CENTER,Wednesday
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,60,47,LANGUAGE CENTER,Thursday
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,3,47,LANGUAGE CENTER,Friday
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,4,47,LANGUAGE CENTER,Saturday
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,5,47,LANGUAGE CENTER,Sunday
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,6,47,LANGUAGE CENTER,Monday
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,10,47,LANGUAGE CENTER,Tuesday
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,11,47,LANGUAGE CENTER,Wednesday
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,12,47,LANGUAGE CENTER,Thursday
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,15,47,LANGUAGE CENTER,Friday
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,16,47,LANGUAGE CENTER,Saturday
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,19,47,LANGUAGE CENTER,Sunday
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,20,47,LANGUAGE CENTER,Monday
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,23,47,LANGUAGE CENTER,Tuesday
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,24,47,LANGUAGE CENTER,Wednesday
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,25,47,LANGUAGE CENTER,Thursday
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,26,47,LANGUAGE CENTER,Friday
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,27,47,LANGUAGE CENTER,Saturday
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,29,47,LANGUAGE CENTER,Sunday
